"ensembl_gene_id_clean","gene_symbol","entrez_id","group"
"ENSG00000160191","PDE9A","5152","down_in_tumor"
"ENSG00000169432","SCN9A","6335","down_in_tumor"
"ENSG00000168748","CA7","766","down_in_tumor"
"ENSG00000124491","F13A1","2162","down_in_tumor"
"ENSG00000130055","GDPD2","54857","down_in_tumor"
"ENSG00000211598","IGKV4-1","28908","down_in_tumor"
"ENSG00000110887","DAO","1610","down_in_tumor"
"ENSG00000070748","CHAT","1103","down_in_tumor"
"ENSG00000188175","HEPACAM2","253012","down_in_tumor"
"ENSG00000140297","GCNT3","9245","down_in_tumor"
"ENSG00000163515","RETNLB","84666","down_in_tumor"
"ENSG00000242766","IGKV1D-17","28900","down_in_tumor"
"ENSG00000211949","IGHV3-23","28442","down_in_tumor"
"ENSG00000290662","MT1JP","4498","down_in_tumor"
"ENSG00000115263","GCG","2641","down_in_tumor"
"ENSG00000133800","LYVE1","10894","down_in_tumor"
"ENSG00000211670","IGLV3-9","28804","down_in_tumor"
"ENSG00000125740","FOSB","2354","down_in_tumor"
"ENSG00000204099","NEU4","129807","down_in_tumor"
"ENSG00000211677","IGLC2","3538","down_in_tumor"
"ENSG00000211970","IGHV4-61","28391","down_in_tumor"
"ENSG00000243290","IGKV1-12","28940","down_in_tumor"
"ENSG00000128645","HOXD1","3231","down_in_tumor"
"ENSG00000164128","NPY1R","4886","down_in_tumor"
"ENSG00000176641","RNF152","220441","down_in_tumor"
"ENSG00000211968","IGHV1-58","28464","down_in_tumor"
"ENSG00000164099","PRSS12","8492","down_in_tumor"
"ENSG00000019102","VSIG2","23584","down_in_tumor"
"ENSG00000095110","NXPE1","120400","down_in_tumor"
"ENSG00000240671","IGKV1-8","28942","down_in_tumor"
"ENSG00000166869","CHP2","63928","down_in_tumor"
"ENSG00000106809","OGN","4969","down_in_tumor"
"ENSG00000183773","AIFM3","150209","down_in_tumor"
"ENSG00000173597","SULT1B1","27284","down_in_tumor"
"ENSG00000104435","STMN2","11075","down_in_tumor"
