"ensembl_gene_id","ensembl_gene_id_clean","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000176595.5","ENSG00000176595","KBTBD11",456.673964900986,-1.62898089138402,0.366668185424798,-4.44265675653531,8.88548537834655e-06,0.00433634469759154,"down_in_tumor"
"ENSG00000307451.1","ENSG00000307451","",1017.5091645489,-3.27344546413496,0.739563099255574,-4.42618820142585,9.59128512963828e-06,0.00448941724140675,"down_in_tumor"
"ENSG00000112183.15","ENSG00000112183","RBM24",112.312915922702,-2.92379218964735,0.662689063050677,-4.4120121376196,1.02414370668223e-05,0.00459560679807671,"down_in_tumor"
"ENSG00000259823.7","ENSG00000259823","LYPD8",6872.7195031201,-3.32956117718698,0.756019628559979,-4.40406710541224,1.06240056278766e-05,0.00459560679807671,"down_in_tumor"
"ENSG00000080493.20","ENSG00000080493","SLC4A4",4300.82958541068,-3.38359082687822,0.770705638806863,-4.39025051395289,1.13220149016156e-05,0.00478870910272112,"down_in_tumor"
"ENSG00000197273.5","ENSG00000197273","GUCA2A",4106.92755982966,-3.50385492148504,0.805690969218638,-4.34888196014297,1.36833333081624e-05,0.0052086976570851,"down_in_tumor"
"ENSG00000146039.12","ENSG00000146039","SLC17A4",1578.74642930292,-3.29825253806336,0.759459794854401,-4.3428928830863,1.40618705709178e-05,0.00524783495247606,"down_in_tumor"
"ENSG00000167434.11","ENSG00000167434","CA4",4569.21996206392,-3.30721495801587,0.768835464829846,-4.30159001412325,1.69576859431535e-05,0.0060897289916234,"down_in_tumor"
"ENSG00000016490.17","ENSG00000016490","CLCA1",27326.1299912574,-3.37296685407296,0.785713671399922,-4.29287026158432,1.76378077902359e-05,0.00621667399391777,"down_in_tumor"
"ENSG00000141338.16","ENSG00000141338","ABCA8",1107.03609539575,-3.24385308478627,0.758230290989281,-4.27818978394274,1.88419345617462e-05,0.00652033710024938,"down_in_tumor"
"ENSG00000182938.8","ENSG00000182938","OTOP3",37.0759329265979,-6.66095154663515,1.56321778181544,-4.26105154644511,2.03467293593306e-05,0.0066768844809679,"down_in_tumor"
"ENSG00000048462.11","ENSG00000048462","TNFRSF17",208.01471648422,-3.51505039073634,0.834495298172102,-4.21218717281666,2.52909836557723e-05,0.00764068717333833,"down_in_tumor"
"ENSG00000109182.13","ENSG00000109182","CWH43",820.920604606755,-3.13485928546822,0.743735214400392,-4.21502064816923,2.49755337630211e-05,0.00764068717333833,"down_in_tumor"
"ENSG00000198074.11","ENSG00000198074","AKR1B10",2641.06089422808,-3.09736633473787,0.736998146824302,-4.20267859299824,2.63774990016974e-05,0.00784442091405166,"down_in_tumor"
"ENSG00000169715.15","ENSG00000169715","MT1E",2806.04138316495,-3.10479101211501,0.742211593679042,-4.18316156545734,2.8748293099116e-05,0.00841794250085347,"down_in_tumor"
"ENSG00000132465.13","ENSG00000132465","JCHAIN",78088.9684899385,-3.00369042285861,0.730887411282232,-4.10964859497182,3.96261661374061e-05,0.0101715189567091,"down_in_tumor"
"ENSG00000155850.10","ENSG00000155850","SLC26A2",37582.8758497854,-3.04775597174316,0.738293831633306,-4.12810705055018,3.65761836051588e-05,0.0101715189567091,"down_in_tumor"
"ENSG00000163815.7","ENSG00000163815","CLEC3B",1840.29711039398,-2.70656248357345,0.659010194087495,-4.10701155741774,4.00811181502225e-05,0.0101715189567091,"down_in_tumor"
"ENSG00000168079.18","ENSG00000168079","SCARA5",2238.36271873819,-3.12998389736049,0.761204478078421,-4.11188318973346,3.92444854740566e-05,0.0101715189567091,"down_in_tumor"
"ENSG00000173237.5","ENSG00000173237","C11orf86",270.66712864885,-3.43727224267196,0.833284013839211,-4.12497082097534,3.70781761587489e-05,0.0101715189567091,"down_in_tumor"
"ENSG00000198417.8","ENSG00000198417","MT1F",716.752905755097,-2.9892524604052,0.723373483259009,-4.1323777130145,3.59029790006557e-05,0.0101715189567091,"down_in_tumor"
"ENSG00000211649.3","ENSG00000211649","IGLV7-46",739.35244434925,-2.71239160797257,0.660321117720283,-4.10768569288975,3.99643443245109e-05,0.0101715189567091,"down_in_tumor"
"ENSG00000281179.1","ENSG00000281179","",31.423938326737,-6.72958940431947,1.64206501923179,-4.09824783154311,4.16289428507716e-05,0.0104253114378781,"down_in_tumor"
"ENSG00000134028.15","ENSG00000134028","ADAMDEC1",7543.32699288874,-2.9162531873976,0.712289900927935,-4.09419420884454,4.23639113647696e-05,0.0104715886364371,"down_in_tumor"
"ENSG00000300403.1","ENSG00000300403","",637.112944634567,-2.90519199206674,0.710941433226635,-4.08640129311554,4.38115749925046e-05,0.01069058598503,"down_in_tumor"
"ENSG00000164850.17","ENSG00000164850","GPER1",144.317386161505,-3.26947072445234,0.801746464437742,-4.07793594293577,4.54372803166159e-05,0.0108115252589107,"down_in_tumor"
"ENSG00000276566.1","ENSG00000276566","IGKV1D-13",710.229231209341,-3.08073128809291,0.755469076372128,-4.07790521736115,4.54432838077473e-05,0.0108115252589107,"down_in_tumor"
"ENSG00000047457.15","ENSG00000047457","CP",506.93326869336,-2.98626569266514,0.73632551440863,-4.05563250794524,4.9998817642021e-05,0.0114154588216324,"down_in_tumor"
"ENSG00000152292.19","ENSG00000152292","SH2D6",227.729663373662,-3.32256251898898,0.819606029716168,-4.05385319107473,5.0380840698635e-05,0.0114154588216324,"down_in_tumor"
"ENSG00000171916.18","ENSG00000171916","LGALS9C",1014.08055641595,-3.09096476712927,0.761626389465579,-4.05837403992546,4.94155750875083e-05,0.0114154588216324,"down_in_tumor"
"ENSG00000167723.16","ENSG00000167723","TRPV3",331.911813377473,-3.00567476163194,0.742533334643397,-4.04786508753229,5.16869227085828e-05,0.0114640224872696,"down_in_tumor"
"ENSG00000254645.3","ENSG00000254645","",271.898018894432,-3.51550374406043,0.869301077335678,-4.04405773294921,5.25339739877009e-05,0.0114928635276771,"down_in_tumor"
"ENSG00000147883.13","ENSG00000147883","CDKN2B",3283.86642478447,-2.70675900893693,0.672915353220879,-4.02243609984696,5.75992837335655e-05,0.0124139604861353,"down_in_tumor"
"ENSG00000154165.5","ENSG00000154165","GPR15",786.892858458174,-3.06084222168011,0.761288899818649,-4.02060534760095,5.80487828122756e-05,0.0124139604861353,"down_in_tumor"
"ENSG00000141574.9","ENSG00000141574","SECTM1",2254.40343239275,-2.8617878496839,0.71618043462496,-3.99590342227448,6.44480054050303e-05,0.013479548207406,"down_in_tumor"
"ENSG00000086696.12","ENSG00000086696","HSD17B2",2791.48806585565,-2.80207169778937,0.703061393786878,-3.98552917647299,6.73299029201483e-05,0.0134917967610452,"down_in_tumor"
"ENSG00000137975.8","ENSG00000137975","CLCA2",35.6125798144536,-5.12655455264724,1.2871089964733,-3.98299954914005,6.80508847296981e-05,0.0134917967610452,"down_in_tumor"
"ENSG00000172410.5","ENSG00000172410","INSL5",438.211327801495,-2.845705704097,0.713749725703398,-3.98697975161051,6.69197343142331e-05,0.0134917967610452,"down_in_tumor"
